ASVs	Clone_and_organism	identity	e_value
05bc3465021bf8b61b2e88484b25622d	JX291802|Prymnesium_sp(7656BH994_SP6)	98.80	2e-126
9fefe27766f68420f66cc81c07e86e8f	JX680373|Prymnesium_sp(Ma101_Pry1_C24)	95.62	3e-113
1e5f71a97aa7dbebd87a0c247cd952cb	AB183611|Prymnesium_sp(MBIC10528)	98.40	7e-125
fd659da60232e1d9ffef459c19368ea1	KF130175|Clade_HAP3(ST6000_025)	99.60	7e-130
3270e44c4a0a75585bb4652062ed44b0	FN263276|Chrysochromulina_sp(B5)	98.40	7e-125
ba6ddbef0d1c4e53d75248d4bb673e42	Unclassified	99.20	3e-128
988ef4a33f56748b02b0ed8cb4d20dfd	JF308273|Chrysoculter_sp(TB1H05)	98.41	7e-125
08bd1d028a89657b6a79eef558e417a8	HQ868699|Clade_HAP3(SHAX937)	96.40	2e-116
eaf515d5503898b81e440ef2f6a9ccc4	FN263276|Chrysochromulina_sp(B5)	99.20	3e-128
ae5cdcd521c0d01b335063d1a09a6243	FN263276|Chrysochromulina_sp(B5)	98.80	2e-126
b00e7673296f634c7f521342b5fce455	HM581600|Clade_B3(FS04R14_1_27Feb07_75m_sort)	99.60	3e-129
f5dd03a16ec1b7e0ab4209d8eb10656c	AM491006|Prymnesium_sp(ALGO_HAPPM)	99.20	3e-128
9b41232cb26adc64f02899008453f14c	AM490984|Scyphosphaera_apsteinii(ALGO_TW16)	99.20	3e-128
fd525f1fbbc2e0d27d3273d7da7af253	JX291802|Prymnesium_sp(7656BH994_SP6)	97.60	2e-121
00be5f44b53fd23198a6e84709f792b1	EF172993|Prymnesium_sp(SSRPD92)	98.80	2e-126
416c705aa527112703a1c696bc029804	AM491009|Prymnesium_aff_polylepis(PLY_200)	96.40	2e-116
7c972e88ae892df92c4d308ba55f93fa	AB183611|Prymnesium_sp(MBIC10528)	99.60	7e-130
f1b40bc22f3d8019c5219eebb272f866	JN090869|Prymnesium_sp(KRL01E9)	98.00	3e-123
98e6718cd250cfa17c79b43a1a7d2b4c	JX291802|Prymnesium_sp(7656BH994_SP6)	98.80	2e-126
1a96d7d69a6d93081936f8ddf2c69d84	EU500064|Clade_HAP4(hotxp1f3)	96.80	1e-117
bd6880436913d674d5858ea36345acca	AB199882|Chrysochromulina_sp(MBIC10513)	97.20	7e-120
9b3bf36ce89aaf12f9d81a7020edfdfd	AM491009|Prymnesium_aff_polylepis(PLY_200)	97.60	2e-121
f6a98d69f2f39b119fb3ecb20455bf1d	KJ763331|Chrysochromulina_sp(SGUH808)	98.80	2e-126
d0290de652d2ccd4f2d4aba60e763195	EF172993|Prymnesium_sp(SSRPD92)	97.20	7e-120
252a6453fe6ee34f7d3a435877b6f2c6	HM581532|Clade_HAP5(FS01AA17_01Aug05_5m)	99.20	1e-127
3ddfd6a6000d34929faeab19162ba2fb	JX680373|Prymnesium_sp(Ma101_Pry1_C24)	96.41	2e-116
e477fffb7e5ea01f18d8191f618e1896	KF130550|Chrysochromulina_sp(ST8900_047)	98.40	7e-125
5064e0cdf1436e3125e468e93732736c	JX680364|Chrysochromulina_sp(DH122_Pry1_C28)	99.20	3e-128
bcd7b7d478c7285fe2f6d64cfb58c435	KF129994|Clade_HAP5(ST5900_037)	98.00	3e-123
01ba621af80e284ab64ef92a93a49397	JX291802|Prymnesium_sp(7656BH994_SP6)	98.00	3e-123
26808a5ac4cba5ba1c3e144589ee5646	HQ868546|Chrysochromulina_sp(SHAX774)	97.22	7e-120
14f0399b49c8ae144954ac6598cb340c	GU825016|Chrysochromulina_sp(AA5F15RM4B01)	98.40	7e-125
fc463ed3e6bd0e354ab91912a95e3ea3	KF130550|Chrysochromulina_sp(ST8900_047)	96.40	2e-116
6ebb0bb8d9641c04558b2f9e927f8785	EF172966|Chrysochromulina_sp(B04N10)	99.60	7e-130
1b83f0ef27858ecd843727e0b62f7d0f	KF129994|Clade_HAP5(ST5900_037)	97.20	7e-120
cd650fe26f0cfb2bce3223c61396663b	KF130550|Chrysochromulina_sp(ST8900_047)	97.61	2e-121
b40f6d003a3d66ed4efc61fa90bc9e1b	KF130564|Clade_B4(ST8900_063)	97.60	2e-121
da26e38b620ddc0571da0a1c10c19417	HQ394067|Chrysochromulina_sp(T4A4_33)	98.40	7e-125
cf10bc14ecb74b5ac1531c8b21c6e61e	KF130288|Clade_HAP4(ST6060_063)	96.43	2e-116
3ba297c61ca256ec83ee50ec81ed5811	DQ918951|Clade_HAP4(ENVP366_00164)	97.36	3e-108
05e1a4340cc14fda5edd3d1722cd7a9d	JX291802|Prymnesium_sp(7656BH994_SP6)	98.00	3e-123
202547c6bdd4fa01419332d5c87774b3	KF130605|Chrysochromulina_sp(ST8900_118)	100.00	2e-131
25bf9b64c2549b446e75fe187c6010a7	JX680364|Chrysochromulina_sp(DH122_Pry1_C28)	98.80	2e-126
2993af531b80049fa1ad9f87c3939b6a	AM490984|Scyphosphaera_apsteinii(ALGO_TW16)	99.60	3e-129
bb0224bf44ce52c23edd2798b1cd2432	EF172966|Chrysochromulina_sp(B04N10)	100.00	2e-131
77704079f392968363980cc1d840002a	KF130521|Chrysochromulina_sp(ST8900_013)	99.21	9e-129
9e37a0fe973ec08bca5a40383a006551	AM490984|Scyphosphaera_apsteinii(ALGO_TW16)	98.41	7e-125
479542c6d4f7c3686c3bd0261d3c7666	AM490993|Umbilicosphaera_hulburtiana(ALGO_NS3A)	100.00	2e-131
628dde6ff8616cba69c6045e5fd244cd	JX680408|Emiliania_Gephyrocapsa_sp(Ma135_Pry1_C4)	99.20	3e-128
517110fb85e4afc253dfcd422a7fed0b	JX680405|Phaeocystis_globosa(Ma135_Pry1_C26)	99.60	7e-130
d128e143c1ee3bb3917f84ae04c71c72	JX680373|Prymnesium_sp(Ma101_Pry1_C24)	99.60	7e-130
723bbcd996c1448b2ff69be930e0ff29	Unclassified	97.60	2e-121
8ce2ba23cfaade2bc919aa641350115e	Unclassified	96.40	2e-116
c34f7f9bacb8ef7590cfc6080b6823e9	Unclassified	98.00	3e-123
2a9148886ca8c526749e039f9062bb6b	HM581532|Clade_HAP5(FS01AA17_01Aug05_5m)	94.02	6e-106
e7288fad38034d6f58652f463e751082	GU825177|Clade_HAP4(AA5F15RM1D01)	98.80	2e-126
f77024a50c03577fbede61affeedf666	JX680362|Clade_E(DH122_Pry1_C23)	99.60	7e-130
222047cc04482515c28491985259252f	HM581532|Clade_HAP5(FS01AA17_01Aug05_5m)	92.43	3e-99
56a16bec48a1f1bd1076fe4b1671927a	KF130396|Algirosphaera_sp(ST8300_084)	98.80	2e-126
2e15227cc7d9738e0bb6ad0b1acda0d3	HM581603|Chrysochromulina_sp(FS04R13_10_27Feb07_75m_sort)	99.20	3e-128
e4a0fc332781836d3847b34764c9d254	KJ763239|Chrysochromulina_sp(SGUH646)	96.02	7e-115
45a8799eb619a618f3e7bf60eaadf8da	KJ763084|Chrysochromulina_sp(SGUH406)	99.60	7e-130
5d5150321d8c4a43f701be367b4694cf	Unclassified	98.40	7e-125
3be0282dc4274fbb58af7ebfbca44f4b	Unclassified	100.00	2e-131
621bac8460da6b31c5934da8b50ba925	KF130175|Clade_HAP3(ST6000_025)	99.20	3e-128
ac2d2889b73171e8af67510d50171331	HQ869677|Clade_HAP4(SHBF653)	98.80	2e-126
1a65d847f49b269cbbe6451b74a2ee34	EF172993|Prymnesium_sp(SSRPD92)	98.40	7e-125
412fd2ef8c4e6bd01791f6c3c2de7ff5	GU825177|Clade_HAP4(AA5F15RM1D01)	92.43	7e-100
bb95cee8ca83be8517c039ac54a56e15	AB478413|Braarudosphaera_bigelowii(Furue15)	100.00	2e-131
2880268c2f546e313ee18d7908f61e51	AB250785|Braarudosphaera_bigelowii(TP056b)	99.20	3e-128
355b6d604ab729cb15059d07e5b6283f	AB183265|Prymnesium_neolepis(Yoshida)	98.40	3e-124
924439b90719ad43bdaa9390b5f212b4	EF695123|Phaeocystis_sp(hotp2a4)	98.40	7e-125
56b06377e504901d9c8655afd96d8ddf	KJ763084|Chrysochromulina_sp(SGUH406)	98.40	7e-125
5fe9eeae545a452d98d99fb9a2f7a85b	Unclassified	97.20	7e-120
66386810e618c615a72dd9f17b27f8df	Unclassified	98.40	7e-125
a6e9409db03aaa6064a183a2768324b5	JX680362|Clade_E(DH122_Pry1_C23)	99.20	3e-128
69a2963babea926a552e671b7c901104	HQ870464|Chrysochromulina_sp(SIAA409)	98.80	2e-126
263c86d67a683c3d2159c319089edc1e	FN263276|Chrysochromulina_sp(B5)	98.01	3e-123
917227ccc466966ceba10b06d43e15ef	KF129692|Chrysochromulina_sp(ST3500_114)	99.20	3e-128
2a6a14569085a9e3bcdb5ec2ef779ecf	KF130396|Algirosphaera_sp(ST8300_084)	99.60	7e-130
7bf1cf3c0cf56ff147ffc63438294f29	GU825016|Chrysochromulina_sp(AA5F15RM4B01)	98.00	3e-123
0f61e1020b2f4730ca2a4ac03c4a58ef	JF714227|Exanthemachrysis_sp(AC35)	94.07	2e-106
703fb2f7b50fb0c25d4739debe2ca1d5	FN263276|Chrysochromulina_sp(B5)	98.00	3e-123
807e5e321dd420d916d1dc270c3e1e4f	GU824821|Clade_HAP2(BCA5F15RM3F05)	99.20	3e-128
6dcce32467ed745d9179cc929453e1e7	AM491000|Prymnesium_sp(ALGO_HAP_pt)	96.43	2e-116
5cdd5f61bf8bdb5ccdceb1298a62b7dd	HM581603|Chrysochromulina_sp(FS04R13_10_27Feb07_75m_sort)	97.62	4e-122
8b03eb1e5be8029d190e85ee5c5f3aa4	AM490987|Syracosphaera_pulchra(ALGO_GK_17)	96.02	7e-115
3c02686041782cb806b67b9d8cf3f6be	GU824470|Clade_F(AI5F13RM1H01)	98.41	7e-125
19802b270111a84e8f28612e8488da10	HQ394067|Chrysochromulina_sp(T4A4_33)	99.20	3e-128
ff54eacc664bb4ec90a2c6ff6aae0bdb	HM581603|Chrysochromulina_sp(FS04R13_10_27Feb07_75m_sort)	97.61	2e-121
869c8c1f00b0964b2d736a27cb16c86e	JN090869|Prymnesium_sp(KRL01E9)	96.80	3e-118
20b03692a9312b6267b586817e2e4c42	JX680419|Chrysochromulina_sp(Ma125_Pry1_C61)	100.00	2e-131
d8aafc0c787dd54b020133fbbb816b6b	AB199882|Chrysochromulina_sp(MBIC10513)	97.61	2e-121
6adaffb97c9e0228e68b1cbba9e419c9	KF129994|Clade_HAP5(ST5900_037)	97.60	2e-121
c26f69dfdf26e0d8e9507eb7f4f9035d	KF129994|Clade_HAP5(ST5900_037)	98.00	3e-123
e2b8ce446ba5adaf03b57109691a7244	KF129692|Chrysochromulina_sp(ST3500_114)	96.80	1e-117
340d6e92ed08480db82efb2fea3e15f2	KJ763084|Chrysochromulina_sp(SGUH406)	99.60	7e-130
992ed4700c86215dfebbd008fd57f9ab	EF172993|Prymnesium_sp(SSRPD92)	97.60	2e-121
db53e7a0e3dc39490e32890c5d1c8bdf	KF129994|Clade_HAP5(ST5900_037)	97.60	2e-121
f8129a76345c84230a4e96114b97c0ee	FJ537311|Clade_E(Biosope_T33_008)	98.80	2e-126
9bdf059164cefef627d9b87390dcc655	FN263276|Chrysochromulina_sp(B5)	98.80	2e-126
6c6e62972ed263024ce62e8a761815e5	AJ246279|Chrysochromulina_throndsenii(UIO049_(K11))	99.60	7e-130
9a9e7be5050b277d9cfc8f798e858e32	JX680435|Phaeocystis_sp(DH125_Pry1_C38)	96.00	3e-114
3d26c975222f269f8014084b4520bdbf	AM491009|Prymnesium_aff_polylepis(PLY_200)	98.00	3e-123
97e819de5988f50f82e751e52f446b7d	KF130288|Clade_HAP4(ST6060_063)	96.80	3e-118
6307b3dde67ac7e2ddd929f680085721	JF308273|Chrysoculter_sp(TB1H05)	100.00	2e-131
595c39d71bad3b426aa285ceeb910c3c	JX291802|Prymnesium_sp(7656BH994_SP6)	95.62	3e-113
4987977aa26432b8ac1b0aecd846febb	Unclassified	97.20	7e-120
ce92a7d75b8b1d5ea7b5f85c8c4ea3d9	AF107083|Chrysochromulina_sp(OLI26017)	98.41	2e-125
6f6d55a288ec5d9278b003319cbcb460	HM581603|Chrysochromulina_sp(FS04R13_10_27Feb07_75m_sort)	98.80	2e-126
315df3daf510ae9960a55ae106872486	HM581603|Chrysochromulina_sp(FS04R13_10_27Feb07_75m_sort)	98.00	3e-123
eb9101612dffc8282529678c728c3279	KF130550|Chrysochromulina_sp(ST8900_047)	97.22	2e-120
132516f2d5b974ea643e4b4fde46d7b4	JX680364|Chrysochromulina_sp(DH122_Pry1_C28)	98.80	2e-126
eae19817a9ec7dcbf84147218a21f960	EF172993|Prymnesium_sp(SSRPD92)	96.43	2e-116
8764d2b03bdcc79a8824381da0c5e04c	AB983345|Gladiolithus_sp(isolate_VFsc26)	98.01	3e-123
583c149a8db4adc186efaa3572d0d583	FJ537311|Clade_E(Biosope_T33_008)	98.80	2e-126
42f815e744f9f78c0cc2fb56ddc945ed	JX291802|Prymnesium_sp(7656BH994_SP6)	96.40	2e-116
7205c18826aac43b8d259c0c7cfddc55	KC488450|Phaeocystis_sp(BBL6SF04_91)	89.41	2e-86
9ee404b1083691cd6dc2925d518d8831	JX680373|Prymnesium_sp(Ma101_Pry1_C24)	94.80	7e-110
6306d407aa3bbe8ab8a6d6e962a1e479	LC599498|Pavlomulina_ranunculiformis(NIES-3900)	99.20	3e-128
582de3470aba22e03c17b73e16dfdddb	KF129994|Clade_HAP5(ST5900_037)	98.00	3e-123
258126a55c36401faf02fcc30cf2cf36	KC582958|Chrysochromulina_sp(RS_12f_10m_00108)	95.62	3e-113
de063459c293b8c6103c49d1beebe96d	Unclassified	98.80	2e-126
34362017c57e725b730c475ef94a2f10	HM581603|Chrysochromulina_sp(FS04R13_10_27Feb07_75m_sort)	97.60	2e-121
d84b86d5463c4efc2443e527f2ecc319	KJ763084|Chrysochromulina_sp(SGUH406)	96.80	3e-118
bd5757a7cfd4ff52b55b284dd7666923	Unclassified	100.00	2e-131
54e893a423fd1e9ee4852b8bd909fc85	HQ864929|Clade_B3(SGPX503)	99.20	1e-127
58e4e1feb1ff44f1455e431af3bbd7a5	Unclassified	96.81	3e-118
d88d9f228eb9ce40e5112c5d2bbdbb55	EF172993|Prymnesium_sp(SSRPD92)	97.20	7e-120
9ffa787f7149572c67724df68812b769	Unclassified	100.00	2e-131
f7edfdcddabe0b3356029b3a569f0012	AJ544119|Umbilicosphaera_sibogae_var_foliosa(ESP6M1)	100.00	2e-131
7cfccd320f8fec145847a2b0955c2f4a	HQ394028|Clade_B5(T4C3_40)	97.21	7e-120
2e33a3392f38b16d8a6ccdc136b8e4e0	KF130564|Clade_B4(ST8900_063)	98.80	2e-126
c358d89daf3e7ce9b1e60ad746653572	FJ537311|Clade_E(Biosope_T33_008)	99.20	3e-128
aad183a7fedad3ca58b1286a4018a7b0	HM581532|Clade_HAP5(FS01AA17_01Aug05_5m)	95.22	6e-111
9f10ed3dab05cd38e03f533f92ced3b8	KC582958|Chrysochromulina_sp(RS_12f_10m_00108)	97.60	2e-121
6b414f1e479e068f0f250ca5020d122e	AB199882|Chrysochromulina_sp(MBIC10513)	100.00	2e-131
89ff11561c06a94b4f4620e7bb22fbd0	FJ537311|Clade_E(Biosope_T33_008)	97.20	7e-120
e0c043b4b1775196b1d4c79a3fda89be	AM490986|Coronosphaera_mediterranea(ALGO_NS85)	94.05	6e-106
769e439ec97ecb2d07cadc1675d078f6	KF130564|Clade_B4(ST8900_063)	94.40	3e-108
da8bd75f0637c60e5cbe6baec41a5a63	JX680373|Prymnesium_sp(Ma101_Pry1_C24)	97.60	2e-121
e3d8edb2609e4f01052f7b0d0c23448e	FJ537637|Chrysochromulina_sp(Biosope_T65_040)	98.80	2e-126
2cfe0d99576b416c5101f78b8a8be6ee	JX291802|Prymnesium_sp(7656BH994_SP6)	97.60	2e-121
abae182caf5fa87028d7a75d41b3ebdb	HM581603|Chrysochromulina_sp(FS04R13_10_27Feb07_75m_sort)	98.01	3e-123
40230dff523d299e475fd9bb658b0b2a	JX680373|Prymnesium_sp(Ma101_Pry1_C24)	97.60	2e-121
abd236d163a2d5c70863ed5f45033668	KF130564|Clade_B4(ST8900_063)	96.80	3e-118
62c2ae0b7ed58711b41c0881643e9374	Unclassified	96.02	7e-115
c80770c5eed49f459dba3b3657cf0d21	AJ544115|Calcidiscus_quadriperforatus(ASM35)	100.00	2e-131
f75f9df5c3d15be5c3ce1bbf36fa9071	HQ870464|Chrysochromulina_sp(SIAA409)	98.40	7e-125
11b72a301a45e6da8904b3dd97e6e3b8	GU825177|Clade_HAP4(AA5F15RM1D01)	92.43	3e-99
2c7821a477c59a57b70b726a0444c98c	HM581532|Clade_HAP5(FS01AA17_01Aug05_5m)	93.63	3e-104
47b874d45a7464a88374c061ad631100	HM581609|Prymnesium_sp(OC413BATS_O096_75m)	100.00	7e-115
a75c389c5aa666517c4a506a7a0ff11d	JX291802|Prymnesium_sp(7656BH994_SP6)	97.20	7e-120
27494f9e26e5eb4f1d78bd2c819b2b32	KF130564|Clade_B4(ST8900_063)	95.20	2e-111
911033a66b739f77bfedb6a7be3802bf	HM581532|Clade_HAP5(FS01AA17_01Aug05_5m)	94.02	6e-106
0b3d20fcaf5e8a700021c4ba2a7cb757	JX680373|Prymnesium_sp(Ma101_Pry1_C24)	98.00	3e-123
1f813b738edadccd9ead2207ed959b22	KF130521|Chrysochromulina_sp(ST8900_013)	96.80	1e-117
387cd556d486e37a3c207997d2e5c7d1	AM491009|Prymnesium_aff_polylepis(PLY_200)	98.00	3e-123
bfd69b028c38a91152138f439465c2fd	EF172993|Prymnesium_sp(SSRPD92)	93.68	2e-105
4a47750b03c11fab71d51ecf4415ef1b	HM581532|Clade_HAP5(FS01AA17_01Aug05_5m)	93.63	3e-104
57f4306f045d1f49624585142c3567f3	Unclassified	95.60	3e-113
6e84c94bec6229cedd0f3e4b82a1c5f3	Unclassified	95.60	3e-113
d3a736aedb6c45447c6b20d3fff42be1	FJ537637|Chrysochromulina_sp(Biosope_T65_040)	97.60	2e-121
5d31dc0422aff4ade0a44a0913683f73	Unclassified	98.80	2e-126
9ddf35bd82ac6ac2c2a52a87efb00695	JX680412|Clade_B3(Ma135_Pry1_C22)	100.00	2e-131
afc841db154203802b2ea0e4d5f49908	Unclassified	99.54	2e-111
02f664ad9761b0643ca1aebd302efb63	FN690514|Clade_F(3b_H6)	97.62	4e-122
4db5f283ac8fd259d65092b0c6f58183	Unclassified	94.00	6e-106
32767fda7a8bdc945af7e5fcdbf1fb24	GQ863817|Phaeocystis_sp(AMT15_15_10m_412)	96.03	7e-115
c95244d6c75e5659fff3a0ba9dcd81ae	EU500064|Clade_HAP4(hotxp1f3)	96.80	1e-117
2d47f0a3cbbbb9aead126980e2a3b8e4	JX680364|Chrysochromulina_sp(DH122_Pry1_C28)	98.00	3e-123
e4edd4ba3136235b26b280500f98c556	AM490986|Coronosphaera_mediterranea(ALGO_NS85)	99.60	7e-130
28a870ba43c3d5f3a1154d5e05195a52	JX680373|Prymnesium_sp(Ma101_Pry1_C24)	98.40	7e-125
d0d979023eb62db329a52b095dd67ba4	JF714232|Pavlova_sp(AC250)	100.00	2e-131
32fece5125158bee46936e0bacdb8377	GU825190|Chrysochromulina_sp(AA5F15RM2D07)	98.40	7e-125
3cdd9de0ed11c208f0894155cb9e5273	JX680408|Emiliania_Gephyrocapsa_sp(Ma135_Pry1_C4)	98.40	7e-125
e7fe738e1e66dcf56fab19669280e0c6	KJ763084|Chrysochromulina_sp(SGUH406)	96.40	2e-116
a3e614cd30358564941e216549641174	KJ763084|Chrysochromulina_sp(SGUH406)	98.40	7e-125
756aa675ba5628573126d2a6231427fb	KF129994|Clade_HAP5(ST5900_037)	94.42	3e-108
4d12972bc257108eb7ed9a2838ce807c	GU825177|Clade_HAP4(AA5F15RM1D01)	94.80	7e-110
e7144a5dc0485255ca44f8f6b6b9b76c	JX291802|Prymnesium_sp(7656BH994_SP6)	97.20	7e-120
4f1ded98248632456f0201dba1886069	Unclassified	98.00	3e-123
db190df31da2b10d81ea16b6a6a2a172	EU499961|Clade_B4(dhot2d7)	93.25	3e-103
bef624be895ccf10b51da82692a2115c	FJ537637|Chrysochromulina_sp(Biosope_T65_040)	97.60	2e-121
53a9f97369b10124c7c96832c9f4da07	HM581532|Clade_HAP5(FS01AA17_01Aug05_5m)	97.60	6e-121
0cf41d793970f824c7b312d05277d280	FR677016|Prymnesium_radiatum(BO18)	100.00	2e-131
d471d45878df91aa3a20567b70d790cf	GU825177|Clade_HAP4(AA5F15RM1D01)	95.20	2e-111
